Date,AAPL,ADBE,AMZN,FB,GOOG,GOOGL,MSFT,NFLX,NVDA,TSLA,^NDX
2020-01-02,75.0875015258789,334.42999267578125,1898.010009765625,209.77999877929688,1367.3699951171875,1368.6800537109375,160.6199951171875,329.80999755859375,59.977500915527344,86.052001953125,8872.2197265625
2020-01-03,74.35749816894531,331.80999755859375,1874.969970703125,208.6699981689453,1360.6600341796875,1361.52001953125,158.6199951171875,325.8999938964844,59.01750183105469,88.60199737548828,8793.900390625
2020-01-06,74.94999694824219,333.7099914550781,1902.8800048828125,212.60000610351562,1394.2099609375,1397.81005859375,159.02999877929688,335.8299865722656,59.26499938964844,90.30799865722656,8848.51953125
2020-01-07,74.59750366210938,333.3900146484375,1906.8599853515625,213.05999755859375,1393.3399658203125,1395.1099853515625,157.5800018310547,330.75,59.98249816894531,93.81199645996094,8846.4501953125
2020-01-08,75.79750061035156,337.8699951171875,1891.969970703125,215.22000122070312,1404.3199462890625,1405.0400390625,160.08999633789062,339.260009765625,60.095001220703125,98.4280014038086,8912.3701171875
2020-01-09,77.40750122070312,340.45001220703125,1901.050048828125,218.3000030517578,1419.8299560546875,1419.7900390625,162.08999633789062,335.6600036621094,60.755001068115234,96.26799774169922,8989.6298828125
2020-01-10,77.5824966430664,339.80999755859375,1883.1600341796875,218.05999755859375,1429.72998046875,1428.9599609375,161.33999633789062,329.04998779296875,61.08000183105469,95.62999725341797,8966.6396484375
2020-01-13,79.23999786376953,345.6300048828125,1891.300048828125,221.91000366210938,1439.22998046875,1440.030029296875,163.27999877929688,338.9200134277344,62.994998931884766,104.97200012207031,9070.650390625
2020-01-14,78.16999816894531,344.6300048828125,1869.43994140625,219.05999755859375,1430.8800048828125,1430.5899658203125,162.1300048828125,338.69000244140625,61.81999969482422,107.58399963378906,9033.419921875
2020-01-15,77.83499908447266,342.94000244140625,1862.02001953125,221.14999389648438,1439.199951171875,1439.199951171875,163.17999267578125,339.07000732421875,61.39250183105469,103.69999694824219,9035.669921875
2020-01-16,78.80999755859375,345.3800048828125,1877.93994140625,221.77000427246094,1451.699951171875,1450.1600341796875,166.1699981689453,338.6199951171875,62.23249816894531,102.697998046875,9125.0
2020-01-17,79.68250274658203,349.739990234375,1864.719970703125,222.13999938964844,1480.3900146484375,1479.52001953125,167.10000610351562,339.6700134277344,62.31999969482422,102.0999984741211,9173.73046875
2020-01-21,79.14250183105469,350.0,1892.0,221.44000244140625,1484.4000244140625,1482.25,166.5,338.1099853515625,61.98500061035156,109.44000244140625,9166.6298828125
2020-01-22,79.42500305175781,350.05999755859375,1887.4599609375,221.32000732421875,1485.949951171875,1483.8699951171875,165.6999969482422,326.0,62.52750015258789,113.91200256347656,9188.580078125
2020-01-23,79.80750274658203,351.760009765625,1884.5799560546875,219.75999450683594,1486.6500244140625,1484.68994140625,166.72000122070312,349.6000061035156,63.21500015258789,114.44000244140625,9216.98046875
2020-01-24,79.57749938964844,351.3699951171875,1861.6400146484375,217.94000244140625,1466.7099609375,1466.1700439453125,165.0399932861328,353.1600036621094,62.619998931884766,112.96399688720703,9141.4697265625
2020-01-27,77.23750305175781,346.8999938964844,1828.3399658203125,214.8699951171875,1433.9000244140625,1431.72998046875,162.27999877929688,342.8800048828125,60.04999923706055,111.60399627685547,8952.1796875
2020-01-28,79.42250061035156,354.6300048828125,1853.25,217.7899932861328,1452.56005859375,1450.5,165.4600067138672,348.5199890136719,61.99250030517578,113.37999725341797,9090.9296875
2020-01-29,81.08499908447266,351.6600036621094,1858.0,223.22999572753906,1458.6300048828125,1456.699951171875,168.0399932861328,343.1600036621094,61.3849983215332,116.197998046875,9101.6103515625
2020-01-30,80.96749877929688,356.739990234375,1870.6800537109375,209.52999877929688,1455.8399658203125,1454.25,172.77999877929688,347.739990234375,61.45249938964844,128.16200256347656,9136.08984375
2020-01-31,77.37750244140625,351.1400146484375,2008.719970703125,201.91000366210938,1434.22998046875,1432.780029296875,170.22999572753906,345.0899963378906,59.10749816894531,130.11399841308594,8991.509765625
2020-02-03,77.16500091552734,358.0,2004.199951171875,204.19000244140625,1485.93994140625,1482.5999755859375,174.3800048828125,358.0,60.08250045776367,156.0,9126.23046875
2020-02-04,79.7125015258789,366.739990234375,2049.669921875,209.8300018310547,1447.0699462890625,1445.4100341796875,180.1199951171875,369.010009765625,61.782501220703125,177.41200256347656,9334.0595703125
2020-02-05,80.36250305175781,365.54998779296875,2039.8699951171875,210.11000061035156,1448.22998046875,1446.050048828125,179.89999389648438,369.6700134277344,62.689998626708984,146.94000244140625,9367.48046875
2020-02-06,81.30249786376953,367.4599914550781,2050.22998046875,210.85000610351562,1476.22998046875,1475.969970703125,183.6300048828125,366.95001220703125,63.5625,149.79200744628906,9445.919921875
2020-02-07,80.00749969482422,366.0899963378906,2079.280029296875,212.3300018310547,1479.22998046875,1479.1099853515625,183.88999938964844,366.7699890136719,62.897499084472656,149.61399841308594,9401.099609375
2020-02-10,80.38749694824219,370.0,2133.909912109375,213.05999755859375,1508.6800537109375,1508.6600341796875,188.6999969482422,371.07000732421875,65.74250030517578,154.25599670410156,9516.83984375
2020-02-11,79.90249633789062,369.2799987792969,2150.800048828125,207.19000244140625,1508.7900390625,1510.06005859375,184.44000244140625,373.69000244140625,66.97250366210938,154.87600708007812,9517.8603515625
2020-02-12,81.80000305175781,374.2900085449219,2160.0,210.75999450683594,1518.27001953125,1518.6300048828125,184.7100067138672,380.010009765625,68.13500213623047,153.45799255371094,9613.2001953125
